"";"Sample_name";"Sample_ID_demultiplexing";"SITE_PAIR";"PLOT_ID";"SUBPLOT";"SITE_ID";"MANAGEMENT";"MESH_TYPE";"locality_id";"GDD0";"precip_Plot_ID_coll_3";"N %";"C/N";"E3pH";"percent_mass_loss";"ergosterol_new";"bioclim_10";"bioclim_7";"vac.myr"
"38";"GUL_CC_L_20";"S039";2;4;20;"GUL";"CC";"L";"GUL_CC_20";"3452.826171875";"1604.21259546129";"1.56";"33.4";"3.92";"63.9904361652438";0,394546776;13,46240044;47,56110001;"8"
"39";"GUL_CC_S_20";"S040";2;4;20;"GUL";"CC";"S";"GUL_CC_20";"3452.826171875";"1604.21259546129";"1.56";"33.4";"3.92";"68.8363989532983";0,412573633;13,46240044;47,56110001;"8"
"40";"GUL_CC_L_21";"S041";2;4;21;"GUL";"CC";"L";"GUL_CC_21";"3425.8268229166665";"1604.21259546129";"1.56";"33.4";"3.92";"48.1811720829582";0,311416015;13,46240044;47,56110001;"4"
"41";"GUL_CC_S_21";"S042";2;4;21;"GUL";"CC";"S";"GUL_CC_21";"3425.8268229166665";"1604.21259546129";"1.56";"33.4";"3.92";"54.4724196310962";0,360589187;13,46240044;47,56110001;"4"
"42";"GUL_CC_L_22";"S043";2;4;22;"GUL";"CC";"L";"GUL_CC_22";"3389.5592447916665";"1604.21259546129";"1.56";"33.4";"3.92";"51.4167585180059";0,359611605;13,46240044;47,56110001;"1"
"43";"GUL_CC_S_22";"S044";2;4;22;"GUL";"CC";"S";"GUL_CC_22";"3389.5592447916665";"1604.21259546129";"1.56";"33.4";"3.92";"47.2942199636989";0,339419307;13,46240044;47,56110001;"1"
"44";"GUL_CC_L_23";"S045";2;4;23;"GUL";"CC";"L";"GUL_CC_23";"3346.751953125";"1604.21259546129";"1.56";"33.4";"3.92";"53.007518023903";0,363643006;13,46240044;47,56110001;"2"
"45";"GUL_CC_S_23";"S046";2;4;23;"GUL";"CC";"S";"GUL_CC_23";"3346.751953125";"1604.21259546129";"1.56";"33.4";"3.92";"48.4323697864078";0,343210749;13,46240044;47,56110001;"2"
"46";"GUL_CC_L_24";"S047";2;4;24;"GUL";"CC";"L";"GUL_CC_24";"3387.3795572916665";"1604.21259546129";"1.56";"33.4";"3.92";"51.9214346536735";0,378916546;13,46240044;47,56110001;"4"
"47";"GUL_CC_S_24";"S048";2;4;24;"GUL";"CC";"S";"GUL_CC_24";"3387.3795572916665";"1604.21259546129";"1.56";"33.4";"3.92";"47.4119975181906";0,429914913;13,46240044;47,56110001;"4"
"48";"HEM_CC_L_25";"S049";3;5;25;"HEM";"CC";"L";"HEM_CC_25";"3344.909505208333";"1239.0366986976";"1.55";"33";"4.21";"46.1990855269825";0,3429005;13,36884975;54,12509918;"44"
"49";"HEM_CC_S_26";"S052";3;5;26;"HEM";"CC";"S";"HEM_CC_26";"3665.0963541666665";"1239.0366986976";"1.55";"33";"4.21";"58.1245408494984";0,347837051;13,36884975;54,12509918;"27"
"50";"HEM_CC_L_27";"S053";3;5;27;"HEM";"CC";"L";"HEM_CC_27";"3519.109375";"1239.0366986976";"1.55";"33";"4.21";"52.9495897155203";0,330955254;13,36884975;54,12509918;"23"
"51";"HEM_CC_S_27";"S054";3;5;27;"HEM";"CC";"S";"HEM_CC_27";"3519.109375";"1239.0366986976";"1.55";"33";"4.21";"49.0933985106622";0,361961511;13,36884975;54,12509918;"23"
"52";"HEM_CC_L_28";"S055";3;5;28;"HEM";"CC";"L";"HEM_CC_28";"3264.477864583333";"1239.0366986976";"1.55";"33";"4.21";"53.3789036041691";0,291465848;13,36884975;54,12509918;"17"
"53";"HEM_CC_S_28";"S056";3;5;28;"HEM";"CC";"S";"HEM_CC_28";"3264.477864583333";"1239.0366986976";"1.55";"33";"4.21";"52.9615258200625";0,277707717;13,36884975;54,12509918;"17"
"54";"HEM_CC_L_29";"S057";3;5;29;"HEM";"CC";"L";"HEM_CC_29";"3523.3717447916665";"1239.0366986976";"1.55";"33";"4.21";"63.9345185665901";0,438848469;13,36884975;54,12509918;"17"
"55";"HEM_CC_S_29";"S058";3;5;29;"HEM";"CC";"S";"HEM_CC_29";"3523.3717447916665";"1239.0366986976";"1.55";"33";"4.21";"54.0648674049406";0,313314179;13,36884975;54,12509918;"17"
"56";"HEM_CC_L_30";"S059";3;5;30;"HEM";"CC";"L";"HEM_CC_30";"3317.056640625";"1239.0366986976";"1.55";"33";"4.21";"66.7119817360221";0,32672712;13,36884975;54,12509918;"13"
"57";"HEM_CC_S_30";"S060";3;5;30;"HEM";"CC";"S";"HEM_CC_30";"3317.056640625";"1239.0366986976";"1.55";"33";"4.21";"50.0978388501856";0,265171563;13,36884975;54,12509918;"13"
"58";"HEM_NN_S_32";"S064";3;6;32;"HEM";"NN";"S";"HEM_NN_32";"3302.3834635416665";"1251.81020118529";"1.52";"34.1";"4.01";"48.5558745197467";0,299091805;13,36083317;54,07769775;"51"
"59";"HEM_NN_L_33";"S065";3;6;33;"HEM";"NN";"L";"HEM_NN_33";"3395.4811197916665";"1251.81020118529";"1.52";"34.1";"4.01";"61.1199842449077";0,288624336;13,36083317;54,07769775;"50"
"60";"HEM_NN_S_33";"S066";3;6;33;"HEM";"NN";"S";"HEM_NN_33";"3395.4811197916665";"1251.81020118529";"1.52";"34.1";"4.01";"50.101473577729";0,334035695;13,36083317;54,07769775;"50"
"61";"HEM_NN_L_34";"S067";3;6;34;"HEM";"NN";"L";"HEM_NN_34";"3337.4576822916665";"1251.81020118529";"1.52";"34.1";"4.01";"72.0269538472037";0,354968668;13,36083317;54,07769775;"70"
"62";"HEM_NN_S_34";"S068";3;6;34;"HEM";"NN";"S";"HEM_NN_34";"3337.4576822916665";"1251.81020118529";"1.52";"34.1";"4.01";"57.9686700476407";0,270284356;13,36083317;54,07769775;"70"
"63";"HEM_NN_L_35";"S069";3;6;35;"HEM";"NN";"L";"HEM_NN_35";"3391.532552083333";"1251.81020118529";"1.52";"34.1";"4.01";"44.9317703223618";0,262558083;13,36083317;54,07769775;"56"
"64";"HEM_NN_S_35";"S070";3;6;35;"HEM";"NN";"S";"HEM_NN_35";"3391.532552083333";"1251.81020118529";"1.52";"34.1";"4.01";"61.6614823166326";0,253363708;13,36083317;54,07769775;"56"
"65";"HEM_NN_L_36";"S071";3;6;36;"HEM";"NN";"L";"HEM_NN_36";"3453.544270833333";"1251.81020118529";"1.52";"34.1";"4.01";"66.6507419774121";0,355679505;13,36083317;54,07769775;"47"
"66";"HEM_NN_S_36";"S072";3;6;36;"HEM";"NN";"S";"HEM_NN_36";"3453.544270833333";"1251.81020118529";"1.52";"34.1";"4.01";"61.0848860129688";0,371150605;13,36083317;54,07769775;"47"
"67";"BRA_NN_L_37";"S073";4;7;37;"BRA";"NN";"L";"BRA_NN_37";"3751.6627604166665";"847.151499649975";"1.52";"32.7";"4.47";"55.3795744716186";0,322995147;14,17911625;52,40879822;"4"
"68";"BRA_NN_S_37";"S074";4;7;37;"BRA";"NN";"S";"BRA_NN_37";"3751.6627604166665";"847.151499649975";"1.52";"32.7";"4.47";"47.6914778569555";0,274445534;14,17911625;52,40879822;"4"
"69";"BRA_NN_L_38";"S075";4;7;38;"BRA";"NN";"L";"BRA_NN_38";"3785.1549479166665";"847.151499649975";"1.52";"32.7";"4.47";"55.1370422167494";0,245251725;14,17911625;52,40879822;"48"
"70";"BRA_NN_S_38";"S076";4;7;38;"BRA";"NN";"S";"BRA_NN_38";"3785.1549479166665";"847.151499649975";"1.52";"32.7";"4.47";"46.709774373232";0,339418571;14,17911625;52,40879822;"48"
